character,dialogue,season,episode
Adora,"   . Hey, princess. You looking at me? ",1,01
Woman over PA," All squadrons, report to training area immediately for evaluation.",1,01
Adora,  Psst. Anyone seen Catra?,1,01
Lonnie, ,1,01
Adora,  Not again.,1,01
Unknown Blue Horde Member," At attention, cadets. Your simulation is about to begin. Here's your scenario. You'll be passing through the treacherous Whispering Woods to reach the heart of the rebel insurgency, Bright Moon.",1,01
Kyle, ,1,01
Unknown Blue Horde Member, Your mission is to defeat the Queen of the Princesses and liberate Bright Moon in Lord Hordak's name. Where's Catra?,1,01
Adora, She will be here. I promise.,1,01
Unknown Blue Horde Member," Mm-hmm. The Whispering Woods is full of princesses.  Vicious, violent instigators.They will take you out if given the chance. Don't give it to them. Good luck, recruits.",1,01
Adora, Watch out!,1,01
Kyle," Oh, no, no, no, no, no!",1,01
Adora," Come on, this way.",1,01
Catra, ,1,01
Kyle,"  Aw, dang it.",1,01
Adora," Seriously, Kyle?",1,01
Lonnie, Bra-vo.,1,01
Lonnie," Seriously, Kyle?",1,01
Adora, Run!,1,01
Lonnie, Adora!,1,01
Adora,  ,1,01
Adora, ,1,01
Catra," Hey, Adora. How's it hanging?",1,01
Adora," Catra. Did you really show up late and let us do all the hard parts? That is low, even for you.",1,01
Catra," Aw. You know nothing's too low for me. . Now come on, you look stupid hanging down there.",1,01
Woman over PA, Training exercise successfully completed.,1,01
Catra," .  You should've seen your face. You were like, ""Aah, no! Betrayal.""",1,01
Adora,"  Come on, Catra. We're senior cadets now. I can't believe you're still pulling such childish, immature-- Is that a mouse?!",1,01
Catra, What!? Where!?,1,01
Adora, . Are you ever going to not fall for that?,1,01
Catra, I don't know. Are you ever going to let it go? That was one time.,1,01
Adora," I know, but for some reason it's always funny.",1,01
Shadow Weaver, Adora.,1,01
Adora, Shadow Weaver.,1,01
Shadow Weaver, You have done well. You've completed your training course in record time.,1,01
Adora," Uh, well, that wasn't just me. You know, Catra did, too.",1,01
Shadow Weaver," Ah, yes. How someone as unmotivated as you completed the course in that time, I'll never know.",1,01
Catra," Always serving up those pep talks, huh, Shadow Weaver?",1,01
Shadow Weaver," Silence. Do not be flippant with me, cadet.",1,01
Catra, Sorry Shadow Weaver.,1,01
Shadow Weaver," Adora, walk with me... Adora.",1,01
Shadow Weaver, Lord Hordak has been watching you. He thinks you are a fine candidate for Force Captain.,1,01
Adora, Really? Force Captain? Lord Hordak said that about me?,1,01
Shadow Weaver," Oh yes. He sees great promise in you. In fact, he has elected you the honor of leading a squadron in the invasion of the rebel Fortress of Thaymor.",1,01
Adora, Thaymor? You mean we're finally seeing active duty?,1,01
Shadow Weaver, You are seeing active duty.,1,01
Adora," But I'll be able to bring my team along, right?",1,01
Shadow Weaver, Your team is not ready. They'll only slow you down.,1,01
Adora," Shadow Weaver, with respect, they've been training hard for this, too. And Catra, all she wants is to get out there and prove herself.",1,01
Shadow Weaver," Then she should have worked harder to prove herself to me. This is what I raised you for, Adora. Now is your chance to prove yourself. I saw talent in you the moment I found you as an orphan child and took you in. Is this not what you've wanted since you were old enough to want anything?",1,01
Adora, Yes.,1,01
Shadow Weaver," With you at the forefront, we will crush the Bright Moon Rebellion once and for all. Do not disappoint me.",1,01
Angella, Send her in.,1,01
Glimmer, Your Majesty.,1,01
Angella, I'm told you disobeyed orders and led the Rebellion into a dangerous combat situation after you were ordered to retreat.,1,01
Glimmer, I was trying to protect a village from falling into The Horde's grasp.,1,01
Angella, You were reckless and put yourself and the other rebels in danger.,1,01
Glimmer," Fighting is supposed to be dangerous! How are we going to hold our own against The Horde if we keep retreating? Pretty soon, we won't have anything left to defend.",1,01
Angella," I'm growing tired of your back-talking, Commander Glimmer.",1,01
Glimmer, Why did you even make me a commander if you won't let me fight?,1,01
Angella, That's enough! You're grounded!,1,01
Glimmer,  Mom!,1,01
Angella, You heard me!,1,01
Glimmer, You never let me do anything!,1,01
Angella, We are not having this discussion tonight. You are embarrassing me in front of my royal court.,1,01
Glimmer," Oh, I'm embarrassing you?",1,01
Angella, Go to your room!,1,01
Glimmer, I'm going!,1,01
Angella, ,1,01
Adora, ,1,01
Catra," What'd she say? Hey, what's this?",1,01
Adora, Hey! Give it back.,1,01
Catra, No way. You've been promoted?,1,01
Adora," Well, kind of. I mean, yeah, I guess. Heh. But it's not a big deal.",1,01
Catra," Are you kidding? That is awesome. We're gonna see the world and conquer it. Adora, I need to blow something up. ",1,01
Adora, Umm..,1,01
Catra, What?,1,01
Adora, Shadow Weaver says you're not coming.,1,01
Catra, What? My time was just as good as yours today. What is her problem with me?,1,01
Adora," I mean, you are kind of disrespectful.",1,01
Catra, Why should I respect her? She's just bitter that she doesn't have any real power that doesn't come from Hordak and everyone knows it. I guess it sure must be easy being a people pleaser like you.,1,01
Adora," I am not a pe-- Catra, wait. ",1,01
Adora," Look, I'm sorry. I didn't even think you wanted to be a Force Captain.",1,01
Catra," I don't. Here, take your stupid badge.",1,01
Adora," Come on, Catra. This is what I have been working for my entire life. I was hoping you could be, I don't know, happy for me.",1,01
Catra," Ugh, whatever. It's not like I even care. I just wanna get out of this dump at some point before I die of boredom. I wonder what's even outside the Fright Zone anyway.",1,01
Adora, Why don't we go find out?,1,01
Catra, I take it all back. You're officially awesome. I can't believe you actually stole a skiff.,1,01
Adora, Borrowed. Please don't make me regret this.,1,01
Catra," I've always wanted to drive one of these things. Here, gimme.",1,01
Adora," Whoa, there. Save us enough fuel to get back.",1,01
Catra, That's a problem for future Adora and Catra.,1,01
Catra and Adora, I'm driving. I want it.,1,01
Catra, Can't have it! ,1,01
Catra, Let me.,1,01
Adora, Give me. I'm doing it.,1,01
Catra, Adora. I want it.,1,01
Adora," No, I've got it.",1,01
Adora, Catra!,1,01
Catra, What is it?,1,01
Adora," I think this must be the Whispering Woods. They say there are strange, old monsters in there, an- and the trees move when you're not looking. Every Horde squadron they've sent in there has never come out again.",1,01
Catra, Let's go in.,1,01
Adora," Wait, what? ",1,01
Catra, Woo-hoo!  ,1,01
Adora," Catra, slow down! Catra, tree! Tree! ",1,01
Catra, Adora!,1,01
Adora,  ,1,01
Adora, Catra? Huh? Whoa. Cool.,1,01
Adora, ,1,01
Female voice, Balance must be restored. Etheria must seek a hero.,1,01
Female voice," Adora, Adora.",1,01
Catra," Hey, Adora? Adora!",1,01
Adora, Catra? What happened?,1,01
Catra, You fell out of the skiff after you drove it into a tree.,1,01
Adora," No, you drove it into a tree.",1,01
Catra," Ah, up for debate. Come on, let's go.",1,01
Adora, Wait. Where is it? Where'd it go?,1,01
Catra, What?,1,01
Adora," Ther- There was a sword. It was right here. I tried to touch it, but it got really bright.",1,01
Catra," Are you brain damaged? Don't be brain damaged. Oh, Shadow Weaver's gonna kill me.",1,01
